customer_id,first_name,last_name,email,age,city,state,segment,join_date,is_active
C00026,Joseph,Thomas,customer26@email.com,27,San Diego,CA,Budget,2021-05-21,True
C00027,Neha,Sharma,customer27@email.com,57,Houston,TX,Premium,2020-03-06,True
C00028,Patricia,Johnson,customer28@email.com,46,San Antonio,TX,Premium,2020-05-17,True
C00029,Joseph,Davis,customer29@email.com,52,Los Angeles,CA,Regular,2022-04-03,True
C00030,Barbara,Davis,customer30@email.com,70,Phoenix,AZ,Budget,2022-10-28,True
C00031,Robert,Davis,customer31@email.com,44,San Diego,CA,Budget,2021-09-10,True
C00032,Rahul,Garcia,customer32@email.com,58,Los Angeles,CA,Wholesale,2023-02-14,False
C00033,Vikram,Chaudhary,customer33@email.com,68,Los Angeles,CA,Budget,2021-12-06,False
C00034,Barbara,Chaudhary,customer34@email.com,29,Boston,MA,Wholesale,2020-11-01,True
C00035,Amit,Jones,customer35@email.com,69,San Diego,CA,Wholesale,2021-09-07,True
C00036,Jessica,Jones,customer36@email.com,42,Las Vegas,NV,Regular,2022-04-25,True
C00037,Vikram,Williams,customer37@email.com,46,San Antonio,TX,Budget,2021-11-07,True
C00038,Mary,Wilson,customer38@email.com,42,Las Vegas,NV,Premium,2021-01-25,True
C00039,Pooja,Miller,customer39@email.com,48,San Antonio,TX,Regular,2023-04-18,True
C00040,Michael,Miller,customer40@email.com,65,San Jose,CA,Premium,2020-02-01,False
C00041,Anjali,Miller,customer41@email.com,43,San Diego,CA,Regular,2023-11-25,True
C00042,Joseph,Thomas,customer42@email.com,37,San Jose,CA,Budget,2022-02-18,True
C00043,Joseph,Brown,customer43@email.com,69,Portland,OR,Wholesale,2022-10-15,True
C00044,David,Sharma,customer44@email.com,20,San Antonio,TX,Regular,2022-01-29,True
C00045,Priya,Sharma,customer45@email.com,36,New York,NY,Regular,2021-06-18,True
C00046,Richard,Davis,customer46@email.com,49,Austin,TX,Budget,2021-04-16,True
C00047,Pooja,Kumar,customer47@email.com,47,Miami,FL,Regular,2023-08-07,True
C00048,Pooja,Kumar,customer48@email.com,29,Philadelphia,PA,Premium,2020-10-13,True
C00049,Mary,Smith,customer49@email.com,44,Chicago,IL,Regular,2023-09-30,True
C00050,Robert,Smith,customer50@email.com,31,Chicago,IL,Wholesale,2023-12-19,True
C00051,Vikram,Kumar,customer51@email.com,60,Los Angeles,CA,Wholesale,2023-06-19,True
C00052,Priya,Sharma,customer52@email.com,18,New York,NY,Premium,2022-12-25,True
C00053,James,Sharma,customer53@email.com,69,Las Vegas,NV,Regular,2021-08-10,True
C00054,Robert,Davis,customer54@email.com,30,Houston,TX,Budget,2022-12-09,True
C00055,John,Thomas,customer55@email.com,43,Dallas,TX,Wholesale,2022-03-23,True
C00056,Neha,Williams,customer56@email.com,59,San Diego,CA,Premium,2021-09-06,True
C00057,Richard,Kumar,customer57@email.com,21,Denver,CO,Premium,2022-02-15,True
C00058,Jessica,Taylor,customer58@email.com,54,Chicago,IL,Premium,2022-10-20,True
C00059,Amit,Kumar,customer59@email.com,35,San Diego,CA,Premium,2021-03-08,True
C00060,Rahul,Johnson,customer60@email.com,29,Dallas,TX,Budget,2023-01-17,True
C00061,Robert,Chaudhary,customer61@email.com,22,San Antonio,TX,Budget,2023-04-17,True
C00062,Rahul,Chaudhary,customer62@email.com,61,Nashville,TN,Budget,2021-05-07,False
C00063,Pooja,Williams,customer63@email.com,50,Phoenix,AZ,Budget,2023-11-12,True
C00064,Linda,Williams,customer64@email.com,39,Houston,TX,Wholesale,2022-06-14,True
C00065,William,Patel,customer65@email.com,49,New York,NY,Regular,2023-07-22,True
C00066,Jessica,Garcia,customer66@email.com,61,Las Vegas,NV,Wholesale,2022-02-07,True
C00067,Linda,Williams,customer67@email.com,23,Charlotte,NC,Budget,2021-08-27,True
C00068,Vikram,Jones,customer68@email.com,65,Denver,CO,Wholesale,2023-12-28,True
C00069,John,Smith,customer69@email.com,37,Seattle,WA,Wholesale,2020-08-06,True
C00070,Robert,Williams,customer70@email.com,29,Dallas,TX,Wholesale,2020-07-28,False
C00071,Abhinay,Sharma,customer71@email.com,24,Las Vegas,NV,Premium,2023-02-10,True
C00072,John,Taylor,customer72@email.com,42,Seattle,WA,Premium,2023-02-09,True
C00073,John,Davis,customer73@email.com,54,Boston,MA,Regular,2022-03-05,False
C00074,William,Anderson,customer74@email.com,35,Philadelphia,PA,Wholesale,2020-10-11,True
C00075,Jessica,Wilson,customer75@email.com,44,Chicago,IL,Budget,2020-12-08,False
C00076,William,Davis,customer76@email.com,64,Chicago,IL,Wholesale,2022-01-09,True
C00077,Robert,Anderson,customer77@email.com,18,Atlanta,GA,Wholesale,2020-08-07,True
C00078,David,Patel,customer78@email.com,39,Charlotte,NC,Wholesale,2022-02-17,True
C00079,Anjali,Miller,customer79@email.com,48,San Jose,CA,Budget,2021-10-18,True
C00080,Barbara,Kumar,customer80@email.com,54,Denver,CO,Regular,2021-10-15,True
C00081,Richard,Thomas,customer81@email.com,25,Denver,CO,Regular,2021-07-28,True
C00082,Pooja,Patel,customer82@email.com,63,Las Vegas,NV,Regular,2020-02-25,False
C00083,John,Sharma,customer83@email.com,61,San Jose,CA,Wholesale,2023-11-19,True
C00084,William,Jones,customer84@email.com,63,San Jose,CA,Wholesale,2021-05-10,False
C00085,Anjali,Kumar,customer85@email.com,55,Chicago,IL,Wholesale,2022-07-08,False
C00086,Susan,Williams,customer86@email.com,24,Las Vegas,NV,Regular,2020-03-16,True
C00087,Anjali,Johnson,customer87@email.com,54,Philadelphia,PA,Wholesale,2023-08-18,True
C00088,James,Brown,customer88@email.com,34,Boston,MA,Regular,2020-08-04,True
C00089,Richard,Patel,customer89@email.com,67,Atlanta,GA,Regular,2022-02-05,True
C00090,Patricia,Anderson,customer90@email.com,44,New York,NY,Premium,2022-09-15,True
C00091,Barbara,Taylor,customer91@email.com,47,Phoenix,AZ,Regular,2021-12-14,False
C00092,Patricia,Patel,customer92@email.com,64,Seattle,WA,Wholesale,2022-09-02,True
C00093,Mary,Brown,customer93@email.com,19,Chicago,IL,Budget,2021-09-06,True
C00094,Abhinay,Garcia,customer94@email.com,53,Philadelphia,PA,Regular,2021-05-14,True
C00095,Joseph,Davis,customer95@email.com,69,Las Vegas,NV,Wholesale,2022-05-23,True
C00096,Neha,Sharma,customer96@email.com,43,Philadelphia,PA,Premium,2023-08-04,True
C00097,Jessica,Chaudhary,customer97@email.com,18,Atlanta,GA,Regular,2023-04-27,True
C00098,John,Brown,customer98@email.com,69,Dallas,TX,Regular,2023-12-12,True
C00099,Joseph,Brown,customer99@email.com,34,Austin,TX,Wholesale,2021-02-07,True
C00100,Anjali,Chaudhary,customer100@email.com,55,Charlotte,NC,Premium,2022-03-06,True
C00101,Anjali,Garcia,customer101@email.com,70,Seattle,WA,Budget,2022-07-26,True
C00102,Patricia,Davis,customer102@email.com,37,Phoenix,AZ,Premium,2021-10-03,True
C00103,Robert,Chaudhary,customer103@email.com,44,Seattle,WA,Regular,2023-11-21,False
C00104,Sarah,Garcia,customer104@email.com,53,Boston,MA,Regular,2021-01-15,False
C00105,Jennifer,Taylor,customer105@email.com,71,San Jose,CA,Wholesale,2020-10-14,True
C00106,Sarah,Jones,customer106@email.com,30,Seattle,WA,Wholesale,2020-01-20,False
C00107,Sarah,Sharma,customer107@email.com,63,Boston,MA,Wholesale,2023-11-03,False
C00108,Rahul,Smith,customer108@email.com,68,Philadelphia,PA,Regular,2020-06-18,True
C00109,Linda,Anderson,customer109@email.com,28,Los Angeles,CA,Wholesale,2021-07-16,False
C00110,Patricia,Brown,customer110@email.com,35,Las Vegas,NV,Budget,2022-11-12,True
C00111,Michael,Sharma,customer111@email.com,24,Atlanta,GA,Regular,2023-01-23,True
C00112,William,Thomas,customer112@email.com,70,Los Angeles,CA,Premium,2022-07-10,False
C00113,Michael,Thomas,customer113@email.com,63,Houston,TX,Wholesale,2021-04-30,True
C00114,Michael,Miller,customer114@email.com,69,Charlotte,NC,Premium,2020-10-12,True
C00115,Anjali,Garcia,customer115@email.com,38,Las Vegas,NV,Budget,2021-07-29,True
C00116,Abhinay,Brown,customer116@email.com,26,Nashville,TN,Wholesale,2021-07-01,True
C00117,Robert,Jones,customer117@email.com,33,Dallas,TX,Regular,2023-09-05,True
C00118,Richard,Kumar,customer118@email.com,27,San Diego,CA,Budget,2023-10-16,False
C00119,John,Williams,customer119@email.com,43,Denver,CO,Budget,2022-07-14,True
C00120,David,Smith,customer120@email.com,67,Atlanta,GA,Premium,2022-09-26,False
C00121,Priya,Chaudhary,customer121@email.com,31,Seattle,WA,Wholesale,2020-05-09,True
C00122,David,Anderson,customer122@email.com,39,Miami,FL,Regular,2021-07-03,False
C00123,Mary,Johnson,customer123@email.com,24,Austin,TX,Wholesale,2023-10-29,True
C00124,Joseph,Patel,customer124@email.com,18,Houston,TX,Wholesale,2020-11-19,True
C00125,Barbara,Garcia,customer125@email.com,35,Phoenix,AZ,Premium,2023-08-24,True
C00126,Susan,Garcia,customer126@email.com,21,Dallas,TX,Wholesale,2020-06-17,True
C00127,Vikram,Williams,customer127@email.com,63,San Diego,CA,Premium,2022-05-29,True
C00128,John,Jones,customer128@email.com,55,San Antonio,TX,Regular,2022-09-03,False
C00129,Amit,Taylor,customer129@email.com,70,New York,NY,Premium,2020-01-17,False
C00130,John,Davis,customer130@email.com,42,Phoenix,AZ,Premium,2022-09-05,True
C00131,Susan,Anderson,customer131@email.com,26,Houston,TX,Wholesale,2021-10-03,True
C00132,Abhinay,Smith,customer132@email.com,57,Phoenix,AZ,Regular,2020-05-20,False
C00133,Vikram,Jones,customer133@email.com,44,Seattle,WA,Wholesale,2021-03-12,True
C00134,Robert,Brown,customer134@email.com,55,Chicago,IL,Wholesale,2020-07-24,True
C00135,Robert,Davis,customer135@email.com,35,Boston,MA,Premium,2021-10-06,True
C00136,Anjali,Anderson,customer136@email.com,67,Las Vegas,NV,Premium,2023-05-15,True
C00137,Anjali,Miller,customer137@email.com,65,San Antonio,TX,Wholesale,2022-11-26,True
C00138,Sarah,Chaudhary,customer138@email.com,25,Los Angeles,CA,Regular,2021-05-05,False
C00139,Abhinay,Smith,customer139@email.com,41,Charlotte,NC,Budget,2020-05-25,True
C00140,Jessica,Thomas,customer140@email.com,52,Denver,CO,Regular,2023-03-10,False
C00141,Rahul,Williams,customer141@email.com,18,Chicago,IL,Budget,2020-02-04,True
C00142,Richard,Anderson,customer142@email.com,58,Los Angeles,CA,Wholesale,2020-05-03,False
C00143,Vikram,Jones,customer143@email.com,35,Denver,CO,Premium,2020-06-17,True
C00144,Michael,Jones,customer144@email.com,52,Chicago,IL,Budget,2022-11-13,False
C00145,Vikram,Williams,customer145@email.com,37,Nashville,TN,Wholesale,2023-07-23,True
C00146,John,Sharma,customer146@email.com,25,Los Angeles,CA,Wholesale,2021-05-15,True
C00147,Pooja,Garcia,customer147@email.com,25,San Jose,CA,Premium,2023-09-26,True
C00148,Sarah,Thomas,customer148@email.com,51,New York,NY,Budget,2020-12-01,True
C00149,Pooja,Wilson,customer149@email.com,64,Seattle,WA,Premium,2020-09-16,True
C00150,William,Williams,customer150@email.com,34,Austin,TX,Premium,2022-05-29,False
C00151,Susan,Johnson,customer151@email.com,49,Atlanta,GA,Regular,2022-11-12,True
C00152,Patricia,Brown,customer152@email.com,32,Philadelphia,PA,Premium,2021-06-06,True
C00153,Mary,Kumar,customer153@email.com,41,New York,NY,Wholesale,2021-05-15,True
C00154,Priya,Sharma,customer154@email.com,32,Philadelphia,PA,Budget,2020-03-13,True
C00155,William,Williams,customer155@email.com,54,Boston,MA,Budget,2021-10-17,True
C00156,Mary,Garcia,customer156@email.com,32,Portland,OR,Premium,2023-10-10,False
C00157,Barbara,Anderson,customer157@email.com,38,Chicago,IL,Premium,2022-08-10,False
C00158,Michael,Anderson,customer158@email.com,54,New York,NY,Budget,2022-01-25,True
C00159,Rahul,Kumar,customer159@email.com,67,Atlanta,GA,Regular,2022-01-24,True
C00160,Jessica,Smith,customer160@email.com,32,Phoenix,AZ,Budget,2020-01-14,True
C00161,Neha,Chaudhary,customer161@email.com,72,Austin,TX,Budget,2020-01-03,True
C00162,Linda,Sharma,customer162@email.com,49,San Antonio,TX,Premium,2022-12-21,True
C00163,Mary,Davis,customer163@email.com,72,Dallas,TX,Wholesale,2020-07-09,True
C00164,Rahul,Brown,customer164@email.com,50,Atlanta,GA,Regular,2020-06-22,False
C00165,Rahul,Johnson,customer165@email.com,45,Chicago,IL,Regular,2023-04-27,True
C00166,David,Chaudhary,customer166@email.com,62,San Jose,CA,Budget,2021-06-18,True
C00167,Linda,Williams,customer167@email.com,30,Atlanta,GA,Regular,2021-07-10,True
C00168,Jennifer,Patel,customer168@email.com,47,Phoenix,AZ,Budget,2020-08-04,False
C00169,Susan,Miller,customer169@email.com,46,Houston,TX,Budget,2023-01-02,False
C00170,John,Garcia,customer170@email.com,69,Dallas,TX,Budget,2020-09-02,True
C00171,Robert,Williams,customer171@email.com,63,San Antonio,TX,Regular,2021-11-02,True
C00172,Mary,Anderson,customer172@email.com,34,Denver,CO,Regular,2022-11-17,True
C00173,Priya,Davis,customer173@email.com,24,Denver,CO,Wholesale,2022-07-15,True
C00174,James,Johnson,customer174@email.com,71,Phoenix,AZ,Regular,2020-09-05,True
C00175,Susan,Williams,customer175@email.com,55,San Antonio,TX,Budget,2022-03-31,True
C00176,Michael,Patel,customer176@email.com,69,New York,NY,Regular,2020-05-12,True
C00177,Mary,Patel,customer177@email.com,21,Austin,TX,Regular,2020-09-07,False
C00178,James,Chaudhary,customer178@email.com,61,Denver,CO,Wholesale,2022-10-13,True
C00179,Jennifer,Wilson,customer179@email.com,35,Seattle,WA,Wholesale,2021-03-15,True
C00180,Anjali,Davis,customer180@email.com,59,Los Angeles,CA,Budget,2023-06-11,False
C00181,Sarah,Johnson,customer181@email.com,23,Boston,MA,Budget,2023-02-01,False
C00182,Michael,Davis,customer182@email.com,58,Phoenix,AZ,Premium,2022-05-08,False
C00183,Priya,Kumar,customer183@email.com,40,Seattle,WA,Budget,2022-09-09,False
C00184,James,Taylor,customer184@email.com,56,Dallas,TX,Regular,2021-01-03,True
C00185,Sarah,Thomas,customer185@email.com,67,Dallas,TX,Regular,2020-04-29,True
C00186,Neha,Davis,customer186@email.com,35,Houston,TX,Premium,2021-05-22,True
C00187,Susan,Garcia,customer187@email.com,29,Nashville,TN,Regular,2022-03-06,True
C00188,James,Thomas,customer188@email.com,54,Seattle,WA,Regular,2023-04-26,True
C00189,Barbara,Garcia,customer189@email.com,49,Miami,FL,Premium,2023-01-15,True
C00190,Anjali,Davis,customer190@email.com,19,Los Angeles,CA,Wholesale,2021-04-21,True
C00191,Michael,Jones,customer191@email.com,39,Austin,TX,Regular,2023-06-11,True
C00192,Robert,Jones,customer192@email.com,67,Los Angeles,CA,Premium,2020-02-14,True
C00193,Amit,Chaudhary,customer193@email.com,55,Chicago,IL,Premium,2022-02-04,True
C00194,Robert,Garcia,customer194@email.com,64,San Jose,CA,Wholesale,2021-10-22,False
C00195,Amit,Thomas,customer195@email.com,32,Austin,TX,Regular,2020-12-22,False
C00196,Barbara,Jones,customer196@email.com,29,San Jose,CA,Premium,2023-11-11,False
C00197,Jennifer,Taylor,customer197@email.com,69,Nashville,TN,Regular,2020-03-07,True
C00198,David,Williams,customer198@email.com,33,Miami,FL,Budget,2020-10-15,True
C00199,John,Taylor,customer199@email.com,46,Philadelphia,PA,Premium,2023-07-26,True
C00200,Amit,Williams,customer200@email.com,40,San Antonio,TX,Budget,2021-05-26,True
C00201,Richard,Patel,customer201@email.com,64,New York,NY,Wholesale,2020-04-08,True
C00202,Richard,Thomas,customer202@email.com,52,Boston,MA,Wholesale,2022-10-06,True
C00203,Vikram,Davis,customer203@email.com,28,Miami,FL,Wholesale,2023-03-29,True
C00204,James,Taylor,customer204@email.com,34,Los Angeles,CA,Premium,2021-08-26,True
C00205,Richard,Garcia,customer205@email.com,64,Austin,TX,Premium,2020-12-14,True
C00206,Anjali,Kumar,customer206@email.com,63,Austin,TX,Premium,2023-05-01,False
C00207,Jessica,Garcia,customer207@email.com,21,Philadelphia,PA,Premium,2023-05-28,True
C00208,Jessica,Wilson,customer208@email.com,60,San Antonio,TX,Budget,2021-01-24,True
C00209,Mary,Chaudhary,customer209@email.com,54,San Diego,CA,Wholesale,2020-07-15,True
C00210,James,Sharma,customer210@email.com,23,Los Angeles,CA,Budget,2022-01-08,False
C00211,James,Miller,customer211@email.com,28,San Antonio,TX,Budget,2020-07-17,True
C00212,Barbara,Chaudhary,customer212@email.com,48,Miami,FL,Wholesale,2020-08-24,True
C00213,Priya,Chaudhary,customer213@email.com,29,Chicago,IL,Budget,2023-08-07,False
C00214,Joseph,Johnson,customer214@email.com,34,Seattle,WA,Wholesale,2021-01-17,False
C00215,William,Johnson,customer215@email.com,27,Dallas,TX,Premium,2021-04-08,True
C00216,Jessica,Davis,customer216@email.com,53,Seattle,WA,Premium,2023-01-13,False
C00217,Priya,Kumar,customer217@email.com,54,Portland,OR,Regular,2022-05-07,False
C00218,Richard,Johnson,customer218@email.com,50,San Jose,CA,Regular,2020-06-10,True
C00219,Jennifer,Miller,customer219@email.com,69,Atlanta,GA,Regular,2020-12-20,True
C00220,John,Sharma,customer220@email.com,30,Los Angeles,CA,Regular,2022-05-17,True
C00221,John,Chaudhary,customer221@email.com,53,Austin,TX,Wholesale,2020-05-17,True
C00222,Joseph,Smith,customer222@email.com,68,Dallas,TX,Wholesale,2022-11-30,True
C00223,Robert,Brown,customer223@email.com,24,Boston,MA,Premium,2020-11-02,True
C00224,Jessica,Wilson,customer224@email.com,42,Las Vegas,NV,Wholesale,2021-12-05,False
C00225,William,Chaudhary,customer225@email.com,27,Los Angeles,CA,Wholesale,2020-12-18,True
C00226,Amit,Davis,customer226@email.com,21,Denver,CO,Wholesale,2021-11-09,True
C00227,David,Anderson,customer227@email.com,37,Seattle,WA,Budget,2020-02-11,False
C00228,Robert,Anderson,customer228@email.com,65,Houston,TX,Wholesale,2021-04-11,True
C00229,Anjali,Williams,customer229@email.com,30,Dallas,TX,Wholesale,2022-05-03,True
C00230,Abhinay,Thomas,customer230@email.com,70,Boston,MA,Premium,2022-09-19,True
C00231,Amit,Chaudhary,customer231@email.com,26,Chicago,IL,Premium,2021-09-29,True
C00232,Mary,Davis,customer232@email.com,20,San Antonio,TX,Wholesale,2021-02-15,True
C00233,Michael,Wilson,customer233@email.com,41,Seattle,WA,Wholesale,2023-12-14,False
C00234,James,Davis,customer234@email.com,41,Houston,TX,Wholesale,2023-10-27,False
C00235,Rahul,Thomas,customer235@email.com,40,Philadelphia,PA,Regular,2022-08-29,True
C00236,James,Chaudhary,customer236@email.com,21,Chicago,IL,Regular,2021-08-06,True
C00237,Linda,Miller,customer237@email.com,35,San Diego,CA,Wholesale,2023-08-18,True
C00238,Robert,Garcia,customer238@email.com,56,New York,NY,Premium,2022-08-28,True
C00239,Barbara,Wilson,customer239@email.com,45,Dallas,TX,Wholesale,2023-05-30,True
C00240,Michael,Patel,customer240@email.com,37,Atlanta,GA,Wholesale,2021-05-31,True
C00241,Neha,Thomas,customer241@email.com,53,New York,NY,Budget,2022-11-13,True
C00242,John,Taylor,customer242@email.com,35,Houston,TX,Budget,2022-09-13,True
C00243,Amit,Anderson,customer243@email.com,30,Dallas,TX,Regular,2023-09-05,True
C00244,Richard,Taylor,customer244@email.com,61,Los Angeles,CA,Regular,2023-05-13,True
C00245,William,Sharma,customer245@email.com,43,Miami,FL,Wholesale,2021-08-28,True
C00246,Rahul,Miller,customer246@email.com,39,Nashville,TN,Regular,2023-12-21,False
C00247,Barbara,Garcia,customer247@email.com,71,Seattle,WA,Regular,2022-11-04,True
C00248,Robert,Wilson,customer248@email.com,64,Houston,TX,Regular,2022-08-22,True
C00249,Susan,Davis,customer249@email.com,65,Chicago,IL,Budget,2021-03-31,False
C00250,William,Anderson,customer250@email.com,47,Austin,TX,Premium,2022-01-31,False
C00251,Rahul,Williams,customer251@email.com,48,Los Angeles,CA,Regular,2023-07-23,True
C00252,Barbara,Sharma,customer252@email.com,21,Denver,CO,Regular,2022-12-21,True
C00253,Jessica,Patel,customer253@email.com,27,San Antonio,TX,Budget,2021-12-02,True
C00254,David,Garcia,customer254@email.com,38,Chicago,IL,Premium,2022-09-25,True
C00255,Michael,Garcia,customer255@email.com,54,Atlanta,GA,Regular,2021-07-14,False
C00256,Anjali,Sharma,customer256@email.com,58,Chicago,IL,Wholesale,2020-09-22,False
C00257,Richard,Smith,customer257@email.com,20,Boston,MA,Regular,2022-09-04,True
C00258,Abhinay,Miller,customer258@email.com,19,New York,NY,Premium,2021-10-21,True
C00259,Susan,Anderson,customer259@email.com,26,San Diego,CA,Premium,2023-11-21,False
C00260,Barbara,Garcia,customer260@email.com,22,Portland,OR,Premium,2023-04-20,True
C00261,Pooja,Taylor,customer261@email.com,45,San Jose,CA,Regular,2022-07-22,True
C00262,Michael,Garcia,customer262@email.com,69,Miami,FL,Wholesale,2022-01-05,True
C00263,Pooja,Jones,customer263@email.com,31,San Diego,CA,Premium,2021-04-04,True
C00264,Amit,Johnson,customer264@email.com,42,Houston,TX,Budget,2022-01-20,True
C00265,Neha,Brown,customer265@email.com,59,Charlotte,NC,Premium,2020-04-08,True
C00266,Joseph,Chaudhary,customer266@email.com,25,Houston,TX,Budget,2022-05-03,False
C00267,Amit,Smith,customer267@email.com,37,Phoenix,AZ,Wholesale,2021-02-24,True
C00268,Anjali,Jones,customer268@email.com,44,Portland,OR,Premium,2021-07-06,True
C00269,Patricia,Kumar,customer269@email.com,30,San Jose,CA,Regular,2020-08-21,True
C00270,Susan,Sharma,customer270@email.com,36,Portland,OR,Regular,2021-02-17,True
C00271,Michael,Kumar,customer271@email.com,39,Las Vegas,NV,Regular,2022-10-13,True
C00272,John,Brown,customer272@email.com,71,New York,NY,Wholesale,2023-10-07,True
C00273,John,Brown,customer273@email.com,34,Chicago,IL,Regular,2022-11-13,False
C00274,Joseph,Johnson,customer274@email.com,24,San Jose,CA,Regular,2021-06-24,True
C00275,Neha,Taylor,customer275@email.com,45,San Jose,CA,Premium,2022-01-07,True
C00276,Robert,Garcia,customer276@email.com,39,Los Angeles,CA,Budget,2020-01-20,False
C00277,Pooja,Williams,customer277@email.com,41,Charlotte,NC,Budget,2021-07-03,True
C00278,Richard,Patel,customer278@email.com,35,Houston,TX,Wholesale,2022-03-31,False
C00279,Jennifer,Brown,customer279@email.com,26,Boston,MA,Premium,2023-08-21,True
C00280,Rahul,Kumar,customer280@email.com,69,Houston,TX,Wholesale,2022-05-02,True
C00281,Susan,Smith,customer281@email.com,61,Charlotte,NC,Regular,2022-02-16,False
C00282,Jessica,Patel,customer282@email.com,20,Miami,FL,Premium,2020-08-19,True
C00283,Amit,Davis,customer283@email.com,60,Austin,TX,Budget,2020-01-26,True
C00284,Pooja,Davis,customer284@email.com,48,Boston,MA,Budget,2023-09-17,False
C00285,Anjali,Johnson,customer285@email.com,18,Phoenix,AZ,Regular,2023-02-17,False
C00286,John,Kumar,customer286@email.com,38,Miami,FL,Regular,2020-12-04,True
C00287,Abhinay,Davis,customer287@email.com,53,Dallas,TX,Wholesale,2020-04-13,False
C00288,Joseph,Patel,customer288@email.com,69,San Diego,CA,Wholesale,2020-06-10,True
C00289,David,Brown,customer289@email.com,49,Miami,FL,Premium,2022-07-04,True
C00290,Mary,Smith,customer290@email.com,70,Denver,CO,Premium,2022-04-24,True
C00291,Michael,Patel,customer291@email.com,39,Portland,OR,Budget,2023-02-25,True
C00292,David,Kumar,customer292@email.com,63,San Diego,CA,Budget,2022-07-19,False
C00293,Neha,Davis,customer293@email.com,18,Houston,TX,Budget,2020-07-18,True
C00294,Abhinay,Thomas,customer294@email.com,62,San Jose,CA,Premium,2023-01-26,True
C00295,Robert,Sharma,customer295@email.com,24,Philadelphia,PA,Budget,2022-10-05,True
C00296,Richard,Miller,customer296@email.com,47,San Antonio,TX,Regular,2020-09-04,True
C00297,Mary,Brown,customer297@email.com,67,Houston,TX,Wholesale,2022-04-28,False
C00298,Robert,Kumar,customer298@email.com,18,Nashville,TN,Premium,2022-10-29,False
C00299,Abhinay,Garcia,customer299@email.com,62,Nashville,TN,Regular,2022-09-16,True
C00300,Neha,Taylor,customer300@email.com,50,Houston,TX,Wholesale,2022-03-04,False
C00301,Linda,Wilson,customer301@email.com,43,Charlotte,NC,Budget,2023-11-19,True
C00302,Robert,Sharma,customer302@email.com,56,Atlanta,GA,Budget,2020-09-30,True
C00303,Michael,Miller,customer303@email.com,31,Las Vegas,NV,Budget,2023-07-19,True
C00304,Vikram,Garcia,customer304@email.com,50,Phoenix,AZ,Budget,2023-12-25,True
C00305,Sarah,Sharma,customer305@email.com,61,Seattle,WA,Budget,2023-02-25,False
C00306,Patricia,Smith,customer306@email.com,42,New York,NY,Regular,2022-12-06,True
C00307,William,Garcia,customer307@email.com,36,Los Angeles,CA,Budget,2021-02-13,True
C00308,Barbara,Miller,customer308@email.com,66,Los Angeles,CA,Premium,2023-11-15,True
C00309,Anjali,Davis,customer309@email.com,65,Atlanta,GA,Wholesale,2020-07-28,True
C00310,Barbara,Johnson,customer310@email.com,42,Portland,OR,Wholesale,2023-11-26,False
C00311,Mary,Smith,customer311@email.com,65,Austin,TX,Budget,2023-02-04,True
C00312,Linda,Thomas,customer312@email.com,66,Charlotte,NC,Regular,2022-06-26,True
